Short_Name,Full_Name
C17002m1,Ratio Of Income To Poverty Level In The Past 12 Months (Margin of Error)
B02008m1,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  White alone or in combination with one or more other races - Total: -- (Margin of Error)
B03002m1,HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total: -- (Margin of Error)
B02001m1,RACE - Universe:  Total population - Total: -- (Margin of Error)
B03003m1,HISPANIC OR LATINO ORIGIN - Universe:  Total population - Total: -- (Margin of Error)
C17002e1,Ratio Of Income To Poverty Level In The Past 12 Months (Estimate)
B17021m1,Poverty Status Of Individuals In The Past 12 Months By Living Arrangement (Margin of Error)
GEOID10,Geographic Identifier
B02001e1,RACE - Universe:  Total population - Total: -- (Estimate)
B17021e1,Poverty Status Of Individuals In The Past 12 Months By Living Arrangement (Estimate)
B17017e1,Poverty Status In The Past 12 Months By Household Type By Age Of Householder (Estimate)
BLKGRPCE10,Block Group Code
B02012m1,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races - Total: -- (Margin of Error)
B02011m1,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Asian alone or in combination with one or more other races - Total: -- (Margin of Error)
B17017m1,Poverty Status In The Past 12 Months By Household Type By Age Of Householder (Margin of Error)
B02010e1,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  People who are American Indian or Alaska Native alone or in combination with one or more other races - Total: -- (Estimate)
B02013m1,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Some other race alone or in combination with one or more other races - Total: -- (Margin of Error)
B02009e1,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Black or African American alone or in combination with one or more other races - Total: -- (Estimate)
B19301e1,Per Capita Income In The Past 12 Months (In 2011 Inflation-Adjusted Dollars) (Estimate)
B02012e1,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races - Total: -- (Estimate)
B02008e1,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  White alone or in combination with one or more other races - Total: -- (Estimate)
B02011e1,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Asian alone or in combination with one or more other races - Total: -- (Estimate)
B03002e1,HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total: -- (Estimate)
B02010m1,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  People who are American Indian or Alaska Native alone or in combination with one or more other races - Total: -- (Margin of Error)
B02013e1,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Some other race alone or in combination with one or more other races - Total: -- (Estimate)
B02009m1,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES - Universe:  Black or African American alone or in combination with one or more other races - Total: -- (Margin of Error)
B19301m1,Per Capita Income In The Past 12 Months (In 2011 Inflation-Adjusted Dollars) (Margin of Error)
B03003e1,HISPANIC OR LATINO ORIGIN - Universe:  Total population - Total: -- (Estimate)
